pid,punter,pgro,pnet,ptb,pr,pry,pfc
563536,KH-2600,53,50,0,DH-2700,3,0
563540,AP-1800,51,51,0,,0,0
563560,AP-1800,49,29,1,,0,0
563573,AP-1800,29,29,0,BT-0300,0,1
563587,AP-1800,54,54,0,,0,0
563591,KH-2600,44,44,0,,0,0
563631,KH-2600,46,46,0,,0,0
563653,KH-2600,50,52,0,DH-2700,-2,0
563677,BF-0300,51,51,0,TB-1060,0,0
563681,SL-0150,47,44,0,MT-0550,3,0
563711,SL-0150,50,51,0,MT-0550,-1,0
563717,BF-0300,66,35,0,TB-1060,31,0
563750,BF-0300,62,62,0,,0,0
563755,SL-0150,52,52,0,,0,0
563762,BF-0300,43,43,0,TB-1060,0,1
563766,SL-0150,40,40,0,MT-0550,0,1
563790,BF-0300,47,47,0,TB-1060,0,1
